restaurant_names,restaurant_ratings,restaurant_price,restaurant_neighbourhoods,restaurant_reviews,restaurant_type
Restaurant Gordon Ramsay,4.5,££££,Chelsea,216,FrenchBritish
The Mayfair Chippy,4.5,££,Mayfair,296,Fish & Chips
Dishoom,4.5,££,Covent Garden,1892,Indian
The Fat Bear,4.5,££,Blackfriars,125,American (Traditional)Soul FoodCajun/Creole
The Breakfast Club,4,££,Soho,500,Coffee & TeaBreakfast & BrunchAmerican (Traditional)
Honey & Co,4.5,££,Fitzrovia,113,Middle Eastern
Duck & Waffle,4,£££,Aldgate,726,Modern EuropeanBarsBritish
Flat Iron,4.5,££,Soho,399,Steakhouses
The Queens Arms,4.5,££,Victoria,123,BritishPubsGastropubs
Padella,4.5,££,London Bridge,222,Italian
Circolo Popolare,4.5,,Fitzrovia,23,ItalianFitzrovia
Sketch,4,£££,Mayfair,846,FrenchModern EuropeanCocktail Bars
Hawksmoor Seven Dials,4.5,£££,Covent Garden,353,BritishSteakhousesCocktail Bars
Duck & Waffle Local,4.5,££,Leicester Square,143,BarsWaffles
Abeno,4.5,££,Bloomsbury,104,Japanese
The Victoria,4.5,££,Paddington,226,PubsBritish
Granger & Co,4,££,Notting Hill,185,BritishModern EuropeanBreakfast & Brunch
Gordon Ramsay Street Pizza,4.5,££,The City,32,PizzaBars
Mother Mash,4,££,Soho,471,British
The Ivy,4,£££,Covent Garden,174,BritishModern European
The Ivy,4,£££,Covent Garden,174,BritishModern European
The Grazing Goat Marylebone,4,££,Marylebone,243,GastropubsBritish
Dishoom,4.5,££,Soho,565,Indian
Fuckoffee,4,£,Borough,87,Coffee & TeaSandwiches
The Ledbury,4.5,££££,Notting Hill,167,Modern European
NOPI,4,£££,Soho,272,Mediterranean
The Ivy Chelsea Garden,4,£££,Chelsea,74,BritishBars
Ottolenghi,4,££,Islington,211,MediterraneanModern European
Hide,4.5,,Mayfair,27,FrenchWine BarsBritishMayfair
Market Halls Victoria,4.5,,Westminster,10,Food CourtWestminster
Eggslut,4,,Notting Hill,9,BurgersSandwichesNotting Hill
Ffiona’s Restaurant,4.5,££,Kensington,270,British
Cecconi’s Mayfair,4,£££,Mayfair,97,Italian
BAO - Soho,4,££,Soho,186,Taiwanese
Jinjuu,4,£££,Soho,98,Korean
The Churchill Arms,4,££,Notting Hill,357,PubsThai
Ye Olde Cheshire Cheese,4,££,Blackfriars,357,PubsBritish
Mestizo,4,££,Euston,154,MexicanBars
Belgo Centraal,4,££,Covent Garden,318,Belgian
Holborn Dining Room,4,£££,Holborn,43,BritishBars
Kiln,4.5,££,Soho,54,NoodlesThai
The English Rose Cafe and Tea Shop,4.5,££,Victoria,213,Coffee & TeaBreakfast & BrunchCafes
Burger & Lobster,4,££,Soho,296,SeafoodBurgers
Carmen Bar De Tapas,4,££,Clapham Common,23,SpanishTapas Bars
The Palomar Restaurant,4.5,£££,Chinatown,109,Middle EasternMediterranean
Berners Tavern,4.5,£££,Fitzrovia,121,BritishPubs
Yauatcha,4,£££,Soho,484,Dim SumSeafoodNoodles
39 Steps Coffee,5,££,Soho,6,Breakfast & Brunch
Brasserie Zédel,4,£££,Soho,169,BrasseriesJazz & BluesCocktail Bars
Drunch Regent’s Park,4.5,,St John's Wood,3,GastropubsCocktail BarsSt John's Wood
Drunch Regent’s Park,4.5,,St John's Wood,3,GastropubsCocktail BarsSt John's Wood
Rules,4,£££,Strand,210,BritishBars
Arabesque,4.5,,Swiss Cottage,9,MediterraneanLebaneseSwiss Cottage
Dominique Ansel Treehouse,4.5,,Covent Garden,3,BakeriesBistrosCovent Garden
Regency Café,4.5,£,Westminster,399,Cafes
Koya Soho,4,££,Soho,115,Japanese
Ngon Ngon,4.5,££,Farringdon,59,VietnameseNoodles
Naru,4,££,Covent Garden,65,Korean
Bradleys Restaurant,4.5,££,Swiss Cottage,10,BritishModern European
Savoir Faire,4.5,££,Bloomsbury,198,French
Haidilao Hot Pot,4,,Leicester Square,8,ChineseLeicester Square
London House by Gordon Ramsay,4.5,£££,Battersea,23,Modern European
Shoryu Ramen,4,££,St James's,376,Japanese
Chiltern Firehouse,4,££££,Marylebone,148,Modern EuropeanFrenchBritish
Maggie Jones’s,4.5,£££,Kensington,120,British
Bocca Di Lupo,4,£££,Soho,168,Italian
Frenchie Covent Garden,4.5,£££,Strand,38,French
St John Bar and Restaurant,4,£££,Farringdon,300,BritishBars
La Patagonia,4.5,££,Euston,36,Argentine
Da Mario Restaurant,4.5,££,Kensington,141,Italian
Texas Joe’s,4.5,££,Borough,24,Barbeque
The Alchemist,4.5,,Covent Garden,26,BarsVenues & Event SpacesAmerican (Traditional)Covent Garden
Piccolino,4,££,Mayfair,46,Italian
The Barge House,4,££,De Beauvoir,27,LoungesBritish
Wahaca,4,££,Soho,312,Mexican
Sushi Tetsu,5,££££,Clerkenwell,23,Sushi Bars
St John Bar and Restaurant,4,£££,Farringdon,300,BritishBars
Blacklock,4.5,£££,Soho,113,BritishCocktail BarsSteakhouses
Milk,4.5,££,Balham,50,Coffee & TeaBreakfast & Brunch
Orsini,4,££,South Kensington,66,ItalianCoffee & Tea
Gloria,4,,Liverpool Street / Broadgate,12,ItalianLiverpool Street / Broadgate
The Table,4,££,Southwark,271,BritishBreakfast & BrunchBars
Rocca,4,££,South Kensington,92,Italian
Busaba Soho,4,££,Soho,383,Thai
Bibimbap,4,£,Bloomsbury,191,Korean
Cereal Killer Cafe,4,£,Shoreditch,123,CafesVenues & Event Spaces
Balthazar,4,£££,Covent Garden,178,FrenchBreakfast & BrunchBistros
La Patagonia,4.5,££,Euston,36,Argentine
Kanada-Ya,4.5,££,Bloomsbury,170,Ramen
Seabird,4.5,,Southwark,3,SeafoodCocktail BarsSouthwark
The Pig and Butcher,4.5,££,Islington,112,BritishGastropubs
Seoul Bakery,4.5,£,Bloomsbury,39,CafesKorean
Nambu Tei,4.5,££,Marylebone,34,Japanese
Restaurant Story,4.5,££££,London Bridge,41,British
Maria Sabina,4,,Southwark,10,MexicanSouthwark
Erebuni Restaurant,4.5,,Barbican,7,BarsRussianKaraokeBarbican
Cereal Killer Cafe,4,£,Shoreditch,123,CafesVenues & Event Spaces
The Wolseley,4,£££,Mayfair,556,CafesBritishTea Rooms
The Oystermen Seafood Bar & Kitchen,4,££,Strand,23,SeafoodBritish
Cacciari’s,4.5,££,Kensington,26,Italian
Andina,4,££,Shoreditch,141,Breakfast & BrunchPeruvian
Bbar,4.5,££,Westminster,72,AfricanCocktail BarsBritish
Barrafina,4,£££,Soho,39,Tapas/Small PlatesSpanish
Cereal Killer Cafe,4,£,Shoreditch,123,CafesVenues & Event Spaces
Seabird,4.5,,Southwark,3,SeafoodCocktail BarsSouthwark
The Wolseley,4,£££,Mayfair,556,CafesBritishTea Rooms
Lobos Meat and Tapas,4.5,£££,London Bridge,31,Tapas/Small PlatesTapas BarsSpanish
Soho Joe,5,,Soho,27,Breakfast & BrunchPizzaSoho
Dinner by Heston Blumenthal,4.5,££££,Hyde Park,293,British
Cacciari’s,4.5,££,Kensington,26,Italian
Andrew Edmunds,4.5,£££,Soho,70,Wine BarsBritish
The Narrow by Gordon Ramsay,3.5,££,Limehouse,106,BritishModern European
Negril,4,££,Brixton Hill,54,Caribbean
Goodman,4.5,£££,Mayfair,107,SteakhousesBurgersBritish
Ramo Ramen,4.5,,Camden Town,5,RamenFilipinoCamden Town
Flour & Grape,4.5,££,Borough,30,ItalianWine Bars
Kazu,5,,Fitzrovia,2,JapaneseSushi BarsFitzrovia
Hawksmoor Guildhall,4.5,£££,The City,52,SteakhousesBarsBritish
Tito’s,5,,Clapham,4,Latin AmericanPeruvianBarsClapham
Where the Pancakes are,4.5,££,Borough,77,Pancakes
Costa Azul,4,££,Newington,2,Latin American
The Oystermen Seafood Bar & Kitchen,4,££,Strand,23,SeafoodBritish
Ottolenghi,4,££,Aldgate,81,MediterraneanModern European
Ma Po,4.5,££,Surrey Quays,5,Szechuan
Social Eating House,4,£££,Soho,94,BritishModern European
Louie Louie,4.5,££,Walworth,3,Wine BarsBreakfast & BrunchCocktail Bars
Silk Road,4.5,££,Camberwell,43,Chinese
BunBunBun Vietnamese Food,4.5,££,Haggerston,33,Vietnamese
Yasmeen Restaurant,5,££,St John's Wood,16,LebaneseMediterranean
Flour & Grape,4.5,££,Borough,30,ItalianWine Bars
Yasmeen Restaurant,5,££,St John's Wood,16,LebaneseMediterranean
Tito’s,5,,Clapham,4,Latin AmericanPeruvianBarsClapham
Lobos Meat and Tapas,4.5,£££,London Bridge,31,Tapas/Small PlatesTapas BarsSpanish
Hawksmoor,4.5,£££,Mayfair,153,SeafoodSteakhouses
Pieminister,4,£,South Bank,88,British
Tokyo Sukiyaki-Tei,4,£££,Chelsea,5,Japanese
Farm Girl Cafe,4,££,Notting Hill,82,Cafes
Paladar,4.5,,Kennington,7,Latin AmericanWine BarsCocktail BarsKennington
Hoppers,4.5,££,Soho,115,Sri LankanAsian Fusion
Warisan Cafe,5,,Paddington,4,MalaysianPaddington
Tokyo Sukiyaki-Tei,4,£££,Chelsea,5,Japanese
Wright Brothers - South Kensington,4.5,££,South Kensington,23,Seafood
Farm Girl Cafe,4,££,Notting Hill,82,Cafes
Sexy Fish,3.5,££££,Mayfair,73,SeafoodJapaneseAsian Fusion
Greenberry Café,4,££,Chalk Farm,33,Brasseries
The Anchor and Hope,4,££,Waterloo,114,British
Hoppers,4.5,££,Soho,115,Sri LankanAsian Fusion
Scully,5,,Leicester Square,13,BritishLeicester Square
Tayyabs,4,££,Whitechapel,690,IndianPakistaniHalal
Homeslice Neal’s Yard,4.5,££,Covent Garden,229,Pizza
