Title,Description,Release,Director,Rating,Duration,Votes,Genre,Stars
The Batman,"When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",2022,Matt Reeves,8.4,176,261605.0,"Action, Crime, Drama","Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
The Adam Project,"""After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022,Shawn Levy,6.8,106,81268.0,"Action, Adventure, Comedy","Ryan Reynolds, Walker Scobell, Mark Ruffalo, Jennifer Garner"
The Last Kingdom,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.",2015,Alexander Dreymon,8.5,60,114917.0,"Action, Drama, History","Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Mark Rowley"
Obi-Wan Kenobi,Jedi Master Obi-Wan Kenobi watches over young Luke Skywalker and evades the Empire's elite Jedi hunters during his exile on the desert planet Tatooine.,2022,Rupert Friend,,,,"Action, Adventure, Sci-Fi","Rupert Friend, Hayden Christensen, Ewan McGregor, Joel Edgerton"
Vikings: Valhalla,"Follow-up series to 'Vikings' set 100 years afterward and centering on the adventures of Leif Erikson, Freydis, Harald Hardrada and the Norman King William the Conqueror.",2022,Sam Corlett,7.1,51,23616.0,"Action, Adventure, Drama","Sam Corlett, Leo Suter, Jóhannes Haukur Jóhannesson, Lujza Richter"
Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021,Jon Watts,8.6,148,538148.0,"Action, Adventure, Fantasy","Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon"
Our Flag Means Death,The year is 1717. Wealthy landowner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.,2022,Rhys Darby,7.4,30,3091.0,"Action, Adventure, Biography","Rhys Darby, Joel Fry, Samson Kayo, Nathan Foad"
The King's Man - Le origini,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",2021,Matthew Vaughn,6.3,131,98483.0,"Action, Adventure, Thriller","Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson"
L'attacco dei giganti,"Fueled by the death of his mother at the hands of the titans, Eren Jaeger vows revenge against the species that have breached through the enclosing walls after 100 years of peace, threatening the remains of humanity.",2013,Yûki Kaji,9.1,24,333182.0,"Animation, Action, Adventure","Yûki Kaji, Yui Ishikawa, Marina Inoue, Josh Grelle"
Bullet Train,Five assassins aboard a fast moving bullet train find out their missions have something in common.,2022,David Leitch,,,,"Action, Mystery, Thriller","Zazie Beetz, Brad Pitt, Aaron Taylor-Johnson, Sandra Bullock"
Reacher,Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,2022,Alan Ritchson,8.2,49,81593.0,"Action, Crime, Drama","Alan Ritchson, Malcolm Goodwin, Willa Fitzgerald, Hugh Thompson"
Il cavaliere oscuro,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,Christopher Nolan,9.1,152,2523.0,"Action, Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
