SONG,ARTIST,GENRE,ALBUM,ALBUM DATE,LENGTH,POPULARITY,DANCE,ENERGY,HAPPY,SPEECH,ACOUSTIC,INSTRUMENTAL,LIVE,LOUD,TEMP,KEY,CAMELOT,TIME SIGNATURE,ID
Kryptonite,3 Doors Down,Alternative Rock,The Better Life,2000,3:53,82,55,87,54,3,1,0,17,-6 db,99,B Minor,10A,4,6ZOBP3NvffbU4SZcrnt1k6
Flying,Anathema,Progressive Doom,Hindsight,2008,6:27,33,25,55,5,3,13,0,13,-8 db,145,C Minor,5A,3,4LknIoUqp497nUCdcd6nRs
One Last Goodbye,Anathema,Progressive Doom,Hindsight,2008,6:03,31,38,23,10,3,76,0,9,-8 db,100,B Minor,10A,3,1jUsNXxk8rz82nUYPnsGla
Velvet Goldmine,David Bowie,Glam Rock,Five Years,2015,3:10,42,62,63,89,3,64,0,16,-12 db,94,F Major,7B,4,6GCNEAIZVH4lKQD30lfQ6f
Lose Yourself,Eminem,Hip-Hop,8 Mile,2002,5:20,70,68,74,6,27,1,0,29,-5 db,171,D Major,10B,4,6GkTKjv1XbFVdI2D8vvDPu
Everlong,Foo Fighters,Grunge Rock,The Colour And The Shape,1997,4:10,83,41,88,36,4,0,0,8,-6 db,158,B Minor,10A,4,5UWwZ5lm5PKu6eKsHAGxOk
November Rain,Guns N' Roses,Glam Metal,Use Your Illusion I,1991,8:56,82,29,64,23,3,2,22,11,-9 db,80,B Major,1B,4,3YRCqOhFifThpSRFJ1VWFM
A Tale That Wasn't Right,Helloween,Melodic Metal,"Keeper of the Seven Keys, Pt. I",1987,4:43,57,32,55,20,3,29,0,26,-8 db,118,A Minor,8A,4,6Fd53Af2royyl5btFfgzlB
Take Me To Church,Hozier,Pop,Hozier,2014,4:01,86,57,66,44,5,63,0,12,-5 db,129,E Minor,9A,4,3dYD57lRAUcMHufyqn9GcI
Beyond the Realms of Death,Judas Priest,Birmingham Metal,Stained Class,1978,6:49,58,29,72,54,3,4,0,16,-6 db,172,B Minor,10A,4,3Rtv6zRNKpeSygXoaF9kCm
Nightcall,Kavinsky,Synthwave,OutRun,2013,4:17,64,51,86,43,6,1,1,42,-5 db,91,A Minor,8A,4,73bDvrmSBh2fr53tLDH9oA
I Was Made For Lovin' You,KISS,Glam Rock,Dynasty,1979,4:31,84,77,85,87,4,21,0,7,-6 db,128,E Major,12B,4,07q0QVgO56EorrSGHC48y3
Detroit Rock City,KISS,Classic Rock,Double Platinum,1978,3:35,28,55,90,45,7,4,0,29,-7 db,91,F Major,7B,4,2jz6rWGqVCYsymwxGoaON4
Sex on Fire,Kings of Leon,Modern Rock,Only By The Night,2008,3:23,84,54,91,37,5,0,1,14,-6 db,153,A Major,11B,4,0ntQJM78wzOLVeCUAW7Y45
Personal Jesus,Marilyn Manson,Alternative Metal,Personal Jesus,2004,4:06,62,57,94,28,12,0,1,52,-5 db,130,D Major,10B,4,6SyutgkQfLKfcsWvmh02k2
Sweet Dreams,Marilyn Manson,Alternative Metal,Smells Like Children,1995,4:53,1,39,64,13,3,1,56,30,-5 db,92,G#/A♭ Major,4B,4,1ENLIbxO4Uma773neTHxbp
