iter	Logloss
0	0.6596964093
1	0.6340929184
2	0.6099928267
3	0.5896845454
4	0.5693581199
5	0.55148717
6	0.5395188965
7	0.5279972199
8	0.5158356105
9	0.5066553737
10	0.4963207446
11	0.4878389361
12	0.4812523132
13	0.4735262291
14	0.467401735
15	0.4606781539
16	0.4553784876
17	0.4497544114
18	0.444864096
19	0.440260782
20	0.4359177609
21	0.4319763043
22	0.4290833061
23	0.4252932163
24	0.422128485
25	0.4188096467
26	0.4157858654
27	0.4133133301
28	0.4108945741
29	0.4087497347
30	0.4070298231
31	0.4044149586
32	0.4025956815
33	0.4014313848
34	0.399578089
35	0.3983716174
36	0.3971808662
37	0.3957478893
38	0.3948337462
39	0.3937755653
40	0.3921455402
41	0.3907451376
42	0.3898719976
43	0.3890838203
44	0.3882681705
45	0.3874419042
46	0.3866737777
47	0.3856648942
48	0.3850755633
49	0.3841475798
50	0.3832794702
51	0.3825213684
52	0.3815442888
53	0.3808521513
54	0.3799706045
55	0.3793111115
56	0.3787084563
57	0.37795
58	0.3774281276
59	0.3770568762
60	0.3767021998
61	0.3763485538
62	0.3755011423
63	0.3745378564
64	0.3740876383
65	0.3732328151
66	0.3728004625
67	0.3724457027
68	0.3721584551
69	0.3711604071
70	0.3704829432
71	0.3697345423
72	0.369433088
73	0.3692286865
74	0.368757019
75	0.3683606832
76	0.3676923022
77	0.3669867952
78	0.3664844906
79	0.3662056898
80	0.3656424074
81	0.3651181903
82	0.3645347185
83	0.3639616691
84	0.3636778241
85	0.3634117678
86	0.3629888119
87	0.362463935
88	0.3616783768
89	0.3609346752
90	0.3605417433
91	0.3600001633
92	0.3593171576
93	0.3585219398
94	0.3581635529
95	0.3579810854
96	0.3576072733
97	0.3572279374
98	0.3568469393
99	0.3561319611
