iter	Passed	Remaining
0	2	2079
1	3	1952
2	5	1874
3	6	1634
4	7	1470
5	8	1438
6	9	1381
7	11	1365
8	12	1323
9	12	1276
10	16	1447
11	16	1389
12	18	1409
13	20	1425
14	21	1397
15	22	1408
16	24	1419
17	26	1432
18	27	1439
19	29	1448
20	31	1479
21	33	1487
22	34	1465
23	36	1485
24	37	1465
25	38	1440
26	39	1424
27	40	1407
28	42	1414
29	42	1389
30	44	1395
31	45	1384
32	47	1403
33	49	1407
34	51	1414
35	52	1417
36	53	1404
37	55	1406
38	57	1410
39	58	1413
40	60	1416
41	62	1430
42	64	1433
43	66	1436
44	67	1440
45	69	1441
46	71	1441
47	72	1441
48	74	1443
49	76	1447
50	78	1452
51	79	1452
52	81	1452
53	82	1452
54	83	1438
55	85	1438
56	86	1425
57	87	1425
58	89	1425
59	90	1416
60	92	1416
61	93	1422
62	95	1425
63	97	1426
64	98	1421
65	100	1421
66	101	1410
67	102	1410
68	104	1410
69	106	1411
70	107	1411
71	109	1414
72	110	1403
73	112	1403
74	113	1404
75	115	1403
76	117	1404
77	117	1393
78	119	1393
79	121	1392
80	122	1392
81	124	1388
82	125	1385
83	126	1375
84	126	1365
85	128	1361
86	128	1352
87	130	1353
88	131	1350
89	132	1344
90	133	1335
91	135	1336
92	136	1330
93	138	1330
94	139	1330
95	141	1333
96	143	1333
97	144	1334
98	146	1333
99	147	1326
100	149	1326
101	150	1326
102	152	1326
103	153	1323
104	154	1317
105	155	1309
106	156	1307
107	158	1309
108	160	1310
109	161	1310
110	163	1309
111	165	1309
112	166	1306
113	168	1306
114	169	1305
115	170	1299
116	172	1300
117	174	1301
118	175	1301
119	177	1300
120	178	1300
121	180	1295
122	181	1295
123	183	1295
124	185	1295
125	185	1288
126	186	1283
127	187	1276
128	188	1275
129	190	1272
130	191	1271
131	193	1271
132	194	1271
133	196	1270
134	198	1270
135	200	1271
136	202	1273
137	205	1284
138	207	1285
139	209	1285
140	210	1285
141	211	1280
142	213	1279
143	215	1278
144	216	1278
145	218	1277
146	220	1278
147	221	1277
148	223	1276
149	224	1272
150	226	1271
151	227	1270
152	229	1269
153	230	1268
154	232	1269
155	234	1269
156	236	1270
157	238	1270
158	240	1269
159	241	1270
160	243	1270
161	245	1271
162	247	1269
163	249	1269
164	251	1270
165	252	1269
166	254	1269
167	256	1268
168	258	1268
169	259	1268
170	261	1268
171	263	1267
172	265	1266
173	266	1267
174	268	1267
175	270	1266
176	272	1265
177	273	1264
178	275	1263
179	277	1262
180	278	1261
181	280	1260
182	282	1260
183	285	1264
184	286	1263
185	288	1262
186	289	1259
187	291	1258
188	292	1257
189	294	1253
190	295	1252
191	297	1251
192	298	1249
193	301	1251
194	303	1251
195	304	1250
196	306	1250
197	308	1249
198	310	1248
199	311	1247
200	313	1246
201	314	1242
202	316	1242
203	318	1241
204	319	1239
205	321	1238
206	322	1237
207	324	1236
208	326	1234
209	328	1234
210	329	1233
211	331	1233
212	333	1232
213	335	1231
214	336	1229
215	338	1228
216	340	1227
217	341	1226
218	343	1224
219	345	1223
220	346	1221
221	348	1220
222	349	1219
223	351	1217
224	353	1216
225	354	1212
226	355	1211
227	357	1209
228	358	1208
229	360	1207
230	362	1207
231	364	1207
232	367	1208
233	368	1207
234	370	1206
235	372	1204
236	373	1203
237	375	1202
238	377	1200
239	379	1200
240	380	1199
241	382	1198
242	384	1196
243	385	1195
244	386	1191
245	388	1190
246	390	1189
247	391	1187
248	393	1186
249	395	1187
250	397	1187
251	398	1184
252	400	1183
253	402	1181
254	404	1180
255	405	1179
256	407	1177
257	409	1177
258	411	1176
259	412	1175
260	414	1173
261	416	1172
262	417	1171
263	419	1169
264	421	1168
265	422	1166
266	424	1166
267	427	1166
268	428	1164
269	430	1163
270	432	1162
271	434	1161
272	435	1161
273	437	1160
274	439	1159
275	442	1160
276	444	1160
277	455	1182
278	458	1185
279	460	1184
280	462	1183
281	464	1182
282	466	1181
283	468	1180
284	469	1179
285	471	1177
286	474	1178
287	476	1177
288	479	1178
289	479	1175
290	481	1172
291	483	1171
292	484	1168
293	485	1165
294	487	1164
295	490	1166
296	491	1164
297	493	1163
298	495	1161
299	497	1159
300	498	1158
301	500	1156
302	502	1155
303	504	1155
304	506	1153
305	508	1152
306	509	1150
307	511	1149
308	513	1147
309	514	1146
310	516	1144
311	518	1143
312	520	1141
