iter	Passed	Remaining
0	4	451
1	9	481
2	13	444
3	17	422
4	22	420
5	28	447
6	35	471
7	41	474
8	46	474
9	50	456
10	55	446
11	62	455
12	66	443
13	70	433
14	78	443
15	82	433
16	87	426
17	92	421
18	96	411
19	100	402
20	106	399
21	110	390
22	114	383
23	120	380
24	123	371
25	127	363
26	131	355
27	137	354
28	143	352
29	151	353
30	155	346
31	160	340
32	165	335
33	170	330
34	174	323
35	177	315
36	181	308
37	185	302
38	189	296
39	192	289
40	196	282
41	200	277
42	204	271
43	209	266
44	213	260
45	218	256
46	222	250
47	226	245
48	230	240
49	239	239
50	243	233
51	250	230
52	256	227
53	263	224
54	268	219
55	272	213
56	275	207
57	280	203
58	284	197
59	287	191
60	290	186
61	294	180
62	298	175
63	302	169
64	305	164
65	309	159
66	313	154
67	317	149
68	321	144
69	326	139
70	330	135
71	334	129
72	338	125
73	342	120
74	346	115
75	349	110
76	353	105
77	356	100
78	361	95
79	364	91
80	368	86
81	371	81
82	376	77
83	379	72
84	383	67
85	386	62
86	390	58
87	394	53
88	398	49
89	401	44
90	405	40
91	410	35
92	413	31
93	418	26
94	423	22
95	428	17
96	432	13
97	439	8
98	444	4
99	449	0
