iter	Passed	Remaining
0	1	152
1	2	138
2	4	135
3	6	145
4	6	132
5	8	129
6	9	125
7	10	119
8	11	116
9	12	114
10	14	113
11	15	113
12	16	110
13	17	108
14	18	106
15	20	105
16	21	103
17	22	101
18	23	100
19	25	100
20	26	99
21	27	98
22	29	98
23	30	97
24	31	95
25	32	93
26	34	92
27	35	91
28	36	89
29	38	89
30	39	88
31	40	87
32	42	85
33	43	84
34	44	82
35	45	80
36	46	78
37	46	76
38	47	75
39	49	74
40	51	73
41	52	73
42	54	71
43	55	70
44	56	69
45	57	67
46	58	65
47	59	64
48	60	63
49	62	62
50	63	61
51	65	60
52	66	59
53	68	57
54	69	56
55	70	55
56	71	53
57	72	52
58	74	51
59	75	50
60	76	49
61	78	48
62	79	46
63	80	45
64	81	44
65	82	42
66	83	41
67	84	39
68	85	38
69	87	37
70	88	36
71	89	34
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	96	27
78	98	26
79	99	24
80	101	23
81	102	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	110	15
88	112	13
89	113	12
90	114	11
91	116	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
